,City,Country,Max Temp,Lat,Lng,Hotel Name
259,Angoche,MZ,76.05,-16.2325,39.9086,Hotel Angoche
260,Daru,PG,87.67,-9.0763,143.2092,Crow's Nest Hotel
266,Sur,OM,72.05,22.5667,59.5289,Resort Sur Beach Hotel
267,Rundu,,71.47,-17.9333,19.7667,Sarasungu River Lodge
268,Hukuntsi,BW,73.22,-24.0,21.75,Shi hotel
275,San Andres,CO,78.82,12.5847,-81.7006,Hotel el Dorado
276,Goundam,ML,74.01,16.4145,-3.6708,Hotel el Dorado
277,Moerai,PF,80.96,-22.4333,-151.3333,Manotel Rurutu
279,Maragogi,BR,78.55,-9.0122,-35.2225,Hotel Praia Dourada
280,Wahiawa,US,77.32,21.5028,-158.0236,The Inn At Schofield
283,Ngunguru,NZ,73.89,-35.6167,174.5,Oceans Tutukaka
286,Sao Filipe,CV,70.21,14.8961,-24.4956,Casas do Sol
287,Cap Malheureux,MU,75.47,-19.9842,57.6142,Ocean V Hotel
288,Richards Bay,ZA,74.32,-28.783,32.0377,Protea Hotel
290,Meulaboh,ID,81.32,4.1363,96.1285,Hotel Meuligou
296,Sragen,ID,77.38,-7.4264,111.0222,Hotel Meuligou
299,Gizo,SB,85.8,-8.103,156.8419,Gizo Hotel
306,Madimba,TZ,74.52,-10.4,40.3333,Gizo Hotel
308,Namatanai,PG,86.41,-3.6667,152.4333,Namatanai Hotel
309,Manggar,ID,81.57,-2.8833,108.2667,Namatanai Hotel
314,Mudgee,AU,78.78,-32.5943,149.5871,The Farmhouse at Blue Wren
315,Na Wa,TH,73.44,17.4897,104.1006,The Farmhouse at Blue Wren
316,Cozumel,MX,76.06,20.5083,-86.9458,Hotel Hacienda Ixtlan
319,Funadhoo,MV,80.06,6.15,73.2667,Hotel Hacienda Ixtlan
320,Acopiara,BR,72.75,-6.0953,-39.4525,Hotel Hacienda Ixtlan
321,Vanimo,PG,77.54,-2.6741,141.3028,Vanimo Surf Lodge
322,Alto Araguaia,BR,72.27,-17.3147,-53.2153,Hotel Karajas
327,Andros Town,BS,71.56,24.7,-77.7667,Hotel Karajas
335,Ranong,TH,80.53,9.9658,98.6348,Les Robinsons De Ranong Resort
337,Batasan,PH,83.98,12.7667,120.7833,Les Robinsons De Ranong Resort
339,Rantepao,ID,82.31,-2.9701,119.8978,Toraja Misiliana
341,Mitsamiouli,KM,79.25,-11.3847,43.2844,Al Camar Lodge
343,Coari,BR,74.71,-4.085,-63.1414,Hotel Tesouro Perdido
344,Warrnambool,AU,76.98,-38.3833,142.4833,Lady Bay Resort
350,Nuevo Progreso,MX,72.46,23.1667,-97.95,Lady Bay Resort
352,Pangkalanbuun,ID,74.59,-2.6833,111.6167,Hotel SwissBellinn
353,Geraldton,AU,77.41,-28.7667,114.6,Willcock Drive
354,Benguela,AO,74.89,-12.5763,13.4055,Rua Damas Moura
355,Namibe,AO,70.92,-15.1961,12.1522,Tambor-Moçâmedes
357,Cabedelo,BR,79.47,-6.9811,-34.8339,Rua Professor João Lélis de Luna Freire
359,Kuala Terengganu,MY,82.35,5.3302,103.1408,Hotel Grand Continental
365,Imbituba,BR,75.9,-28.24,-48.6703,Hotel Humberto
371,Buala,SB,84.78,-8.145,159.5921,Hotel Humberto
376,Whitianga,NZ,72.77,-36.8333,175.7,Hotel Humberto
385,Dangriga,BZ,77.27,16.9692,-88.2321,Pals on the Beach
388,The Valley,AI,77.83,18.217,-63.0578,La Vue
389,Bambanglipuro,ID,78.8,-7.95,110.2833,La Vue
390,Wanaka,NZ,76.1,-44.7,169.15,Riversong B&B
393,Bandraboua,YT,80.28,-12.7044,45.1223,Riversong B&B
395,Sorong,ID,83.05,-0.8833,131.25,Mariat
399,Nisia Floresta,BR,81.41,-6.0911,-35.2086,Mariat
401,Kalmunai,LK,76.78,7.4167,81.8167,Sakkaryya Hotel and Restaurant
403,Pisco,PE,73.45,-13.7,-76.2167,Calle 28 de Julio
405,Soe,ID,71.91,-9.8607,124.284,Hotel Blessing
407,Harper,LR,79.83,4.375,-7.7169,Hotel Blessing
408,Ndjole,GA,75.34,-0.1783,10.7649,Motel Kedyann
409,Marsh Harbour,BS,71.08,26.5412,-77.0636,Island Breezes
410,Port-Gentil,GA,81.3,-0.7193,8.7815,Hôtel du Parc
414,Impfondo,CG,73.65,1.6381,18.0667,Tropicana
